Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Xu et al.,spring wheat/spring wheat/spring wheat/spring wheat/oat,40.95,4.965,1.15275,0,2.73,0.331,0.07685,0,2.815018315,0,8.247734139,NA,NA,NA
Xu et al.,spring wheat/spring wheat/spring wheat/spring wheat/oat,40.95,4.38,1.20225,0,2.73,0.292,0.08015,0,2.935897436,0,9.349315068,NA,NA,NA
Xu et al.,maize,17.25,1.59,0.4461,0,1.15,0.106,0.02974,0,2.586086957,0,10.8490566,NA,NA,NA
Xu et al.,maize,16.35,1.47,0.39885,0,1.09,0.098,0.02659,0,2.439449541,0,11.12244898,NA,NA,NA
Xu et al.,green fallow,16.35,1.635,0.6699,0,1.09,0.109,0.04466,0,4.097247706,0,10,NA,NA,NA
Xu et al.,potato,16.95,1.695,0.49395,0,1.13,0.113,0.03293,0,2.914159292,0,10,NA,NA,NA
Xu et al.,potato,17.55,1.77,0.4755,0,1.17,0.118,0.0317,0,2.709401709,0,9.915254237,NA,NA,NA
Xu et al.,winter wheat/spring wheat,20.7,1.905,0.71415,0,1.38,0.127,0.04761,0,3.45,0,10.86614173,NA,NA,NA
Xu et al.,sugar beet,13.65,1.65,0.28125,0,0.91,0.11,0.01875,0,2.06043956,0,8.272727273,NA,NA,NA
Xu et al.,oat/winter wheat/spring barley,18.75,1.905,0.55275,0,1.25,0.127,0.03685,0,2.948,0,9.842519685,NA,NA,NA
Xu et al.,oat/winter wheat/spring barley,21.15,1.965,0.5115,0,1.41,0.131,0.0341,0,2.418439716,0,10.76335878,NA,NA,NA
Xu et al.,oat/winter wheat/spring barley,19.05,1.815,0.46305,0,1.27,0.121,0.03087,0,2.430708661,0,10.49586777,NA,NA,NA
Xu et al.,oat/winter wheat/spring barley,16.5,1.755,0.4728,0,1.1,0.117,0.03152,0,2.865454545,0,9.401709402,NA,NA,NA
Xu et al.,sugar beet,18.15,1.875,0.37275,0,1.21,0.125,0.02485,0,2.053719008,0,9.68,NA,NA,NA
Xu et al.,winter wheat/maize,20.7,1.965,0.6549,0,1.38,0.131,0.04366,0,3.163768116,0,10.53435115,NA,NA,NA
Xu et al.,maize/winter wheat,18.6,1.905,0.6225,0,1.24,0.127,0.0415,0,3.346774194,0,9.763779528,NA,NA,NA
Xu et al.,winter wheat/sugar beet/spring barley,18.9,1.92,0.61275,0,1.26,0.128,0.04085,0,3.242063492,0,9.84375,NA,NA,NA
Xu et al.,spring barley,18.45,1.815,0.5679,0,1.23,0.121,0.03786,0,3.07804878,0,10.16528926,NA,NA,NA
Xu et al.,winter wheat,18,1.935,0.7383,0,1.2,0.129,0.04922,0,4.101666667,0,9.302325581,NA,NA,NA
Xu et al.,cereal/sugar beet,17.1,1.785,0.537,0,1.14,0.119,0.0358,0,3.140350877,0,9.579831933,NA,NA,NA
Xu et al.,green fallow,16.5,1.74,0.6444,0,1.1,0.116,0.04296,0,3.905454545,0,9.482758621,NA,NA,NA
Xu et al.,potato,16.8,1.755,0.47175,0,1.12,0.117,0.03145,0,2.808035714,0,9.572649573,NA,NA,NA
Xu et al.,potato,15.75,1.725,0.4371,0,1.05,0.115,0.02914,0,2.775238095,0,9.130434783,NA,NA,NA
Xu et al.,spring wheat/winter wheat,21,2.115,0.9042,0,1.4,0.141,0.06028,0,4.305714286,0,9.929078014,NA,NA,NA
Xu et al.,spring barley + see rape,19.8,1.92,0.906,0,1.32,0.128,0.0604,0,4.575757576,0,10.3125,NA,NA,NA
Xu et al.,winter wheat + mustard,17.85,1.755,0.7842,0,1.19,0.117,0.05228,0,4.393277311,0,10.17094017,NA,NA,NA
Xu et al.,maize,18,1.875,0.40785,0,1.2,0.125,0.02719,0,2.265833333,0,9.6,NA,NA,NA
Xu et al.,potato,15.9,1.725,0.33285,0,1.06,0.115,0.02219,0,2.093396226,0,9.217391304,NA,NA,NA
Xu et al.,sugar beet,14.7,1.665,0.3315,0,0.98,0.111,0.0221,0,2.255102041,0,8.828828829,NA,NA,NA
Xu et al.,sugar beet,16.05,1.785,0.444,0,1.07,0.119,0.0296,0,2.76635514,0,8.991596639,NA,NA,NA
Xu et al.,spring barley + see rape,18.3,1.92,0.591,0,1.22,0.128,0.0394,0,3.229508197,0,9.53125,NA,NA,NA
Xu et al.,sugar beet,15.15,1.815,0.44685,0,1.01,0.121,0.02979,0,2.94950495,0,8.347107438,NA,NA,NA
Xu et al.,oat,16.5,1.38,0.38835,0,1.1,0.092,0.02589,0,2.353636364,0,11.95652174,NA,NA,NA
Xu et al.,spring barley,15,1.275,0.32685,0,1,0.085,0.02179,0,2.179,0,11.76470588,NA,NA,NA
Xu et al.,spring wheat/winter wheat,19.05,1.56,0.4221,0,1.27,0.104,0.02814,0,2.215748031,0,12.21153846,NA,NA,NA
Xu et al.,winter wheat,20.25,1.695,0.55215,0,1.35,0.113,0.03681,0,2.726666667,0,11.94690265,NA,NA,NA
Xu et al.,winter rye,19.65,1.545,0.4581,0,1.31,0.103,0.03054,0,2.33129771,0,12.7184466,NA,NA,NA
Xu et al.,oat,18.3,1.44,0.36585,0,1.22,0.096,0.02439,0,1.999180328,0,12.70833333,NA,NA,NA
Xu et al.,spring barley,18.3,1.38,0.3915,0,1.22,0.092,0.0261,0,2.139344262,0,13.26086957,NA,NA,NA
Xu et al.,spring wheat/winter wheat,18.45,1.44,0.37635,0,1.23,0.096,0.02509,0,2.039837398,0,12.8125,NA,NA,NA
Xu et al.,winter wheat,19.95,1.665,0.46305,0,1.33,0.111,0.03087,0,2.321052632,0,11.98198198,NA,NA,NA
Xu et al.,winter rye,19.5,1.62,0.45465,0,1.3,0.108,0.03031,0,2.331538462,0,12.03703704,NA,NA,NA
Xu et al.,winter wheat,20.25,1.665,0.43755,0,1.35,0.111,0.02917,0,2.160740741,0,12.16216216,NA,NA,NA
Xu et al.,winter rye,20.25,1.755,0.40995,0,1.35,0.117,0.02733,0,2.024444444,0,11.53846154,NA,NA,NA
Xu et al.,potato/winter rye,581.1,24.45,1.84695,0,38.74,1.63,0.12313,0,0.317836861,0,23.76687117,NA,NA,NA
Xu et al.,Green fallow,15.45,1.907407407,0.332,0,1.03,0.127160494,0.022133333,0,2.148867314,0,8.1,NA,NA,NA
Xu et al.,Bare fallow,10.8,1.285714286,0.097,0,0.72,0.085714286,0.006466667,0,0.898148148,0,8.4,NA,NA,NA
Xu et al.,"winter wheat, spring barley and oats",20.25,2.131578947,0.4275,0,1.35,0.142105263,0.0285,0,2.111111111,0,9.5,NA,NA,NA
Xu et al.,"winter wheat, spring barley, oat and clover",21.9,2.066037736,0.531,0,1.46,0.137735849,0.0354,0,2.424657534,0,10.6,NA,NA,NA
Xu et al.,"winter wheat, spring barley, oat and straw incorporation",19.05,1.849514563,0.396,0,1.27,0.123300971,0.0264,0,2.078740157,0,10.3,NA,NA,NA
Xu et al.,potato monoculture receiving farmyard manure,16.8,1.768421053,0.226,0,1.12,0.117894737,0.015066667,0,1.345238095,0,9.5,NA,NA,NA
Xu et al.,potato monoculture without farmyard manutre,15.6,1.813953488,0.2215,0,1.04,0.120930233,0.014766667,0,1.419871795,0,8.6,NA,NA,NA
Xu et al.,winter wheat in monoculture,19.05,1.849514563,0.408,0,1.27,0.123300971,0.0272,0,2.141732283,0,10.3,NA,NA,NA
Xu et al.,winter wheat in combination with break crops,18.9,1.718181818,0.444,0,1.26,0.114545455,0.0296,0,2.349206349,0,11,NA,NA,NA
Xu et al.,meadow,28.2,3.032258065,0.9445,0,1.88,0.202150538,0.062966667,0,3.34929078,0,9.3,NA,NA,NA
Xu et al.,0,19.5,3,0.765,0,1.3,0.2,0.051,0,3.923076923,0,6.5,NA,NA,NA
Xu et al.,0,16.5,2.1,0.39,0,1.1,0.14,0.026,0,2.363636364,0,7.857142857,NA,NA,NA
Xu et al.,0,22.5,2.7,0.81,0,1.5,0.18,0.054,0,3.6,0,8.333333333,NA,NA,NA
Xu et al.,0,39,2.4,0.45,0,2.6,0.16,0.03,0,1.153846154,0,16.25,NA,NA,NA
Xu et al.,0,39,2.4,0.45,0,2.6,0.16,0.03,0,1.153846154,0,16.25,NA,NA,NA
Xu et al.,0,51,4.8,0.465,0,3.4,0.32,0.031,0,0.911764706,0,10.625,NA,NA,NA
Xu et al.,0,21,2.4,0.315,0,1.4,0.16,0.021,0,1.5,0,8.75,NA,NA,NA
Xu et al.,0,22.5,2.4,0.405,0,1.5,0.16,0.027,0,1.8,0,9.375,NA,NA,NA
Xu et al.,0,28.5,4.8,0.9,0,1.9,0.32,0.06,0,3.157894737,0,5.9375,NA,NA,NA
Xu et al.,0,21,2.7,0.69,0,1.4,0.18,0.046,0,3.285714286,0,7.777777778,NA,NA,NA
Xu et al.,0,19.5,3.3,0.465,0,1.3,0.22,0.031,0,2.384615385,0,5.909090909,NA,NA,NA
Xu et al.,0,15,2.1,0.585,0,1,0.14,0.039,0,3.9,0,7.142857143,NA,NA,NA
Xu et al.,"bare soil, yet was covered by sugar beet, barley, potato, wheat",26.55,2.4,0.18054,0,1.77,0.16,0.012036,0,0.68,0,11.0625,NA,NA,NA
Xu et al.,"bare soil, yet was covered by sugar beet, barley, potato, wheat",36.45,3.45,0.46656,0,2.43,0.23,0.031104,0,1.28,0,10.56521739,NA,NA,NA
Xu et al.,"bare soil, yet was covered by sugar beet, barley, potato, wheat",30.75,3,0.28905,0,2.05,0.2,0.01927,0,0.94,0,10.25,NA,NA,NA
Xu et al.,arable,15,1.376146789,0.315,0,1,0.091743119,0.021,0,2.1,0,10.9,NA,NA,NA
Xu et al.,arable,16.5,1.542056075,0.288,0,1.1,0.102803738,0.0192,0,1.745454545,0,10.7,NA,NA,NA
Xu et al.,arable,24,2.264150943,0.276,0,1.6,0.150943396,0.0184,0,1.15,0,10.6,NA,NA,NA
Xu et al.,arable,19.5,2.166666667,0.3825,0,1.3,0.144444444,0.0255,0,1.961538462,0,9,NA,NA,NA
Xu et al.,fallow,46.5,4.428571429,0.726,0,3.1,0.295238095,0.0484,0,1.561290323,0,10.5,NA,NA,NA
Xu et al.,fallow,84,7.5,1.2645,0,5.6,0.5,0.0843,0,1.505357143,0,11.2,NA,NA,NA
Xu et al.,fallow,21,1.962616822,0.2145,0,1.4,0.130841121,0.0143,0,1.021428571,0,10.7,NA,NA,NA
Xu et al.,arable,25.5,2.5,0.3375,0,1.7,0.166666667,0.0225,0,1.323529412,0,10.2,NA,NA,NA
Xu et al.,arable,34.5,2.716535433,0.2115,0,2.3,0.181102362,0.0141,0,0.613043478,0,12.7,NA,NA,NA
Xu et al.,fallow,54,4.821428571,0.5955,0,3.6,0.321428571,0.0397,0,1.102777778,0,11.2,NA,NA,NA
Xu et al.,fallow,51,4.553571429,0.5955,0,3.4,0.303571429,0.0397,0,1.167647059,0,11.2,NA,NA,NA
Xu et al.,fallow,67.5,5.4,0.6285,0,4.5,0.36,0.0419,0,0.931111111,0,12.5,NA,NA,NA
Xu et al.,fallow,52.5,4.038461538,0.504,0,3.5,0.269230769,0.0336,0,0.96,0,13,NA,NA,NA
Xu et al.,fallow,57,5.044247788,0.6195,0,3.8,0.336283186,0.0413,0,1.086842105,0,11.3,NA,NA,NA
Xu et al.,fallow,63,5.47826087,0.729,0,4.2,0.365217391,0.0486,0,1.157142857,0,11.5,NA,NA,NA
Xu et al.,fallow,33,1.571428571,0.1605,0,2.2,0.104761905,0.0107,0,0.486363636,0,21,NA,NA,NA
Xu et al.,fallow,15,0.810810811,0.0285,0,1,0.054054054,0.0019,0,0.19,0,18.5,NA,NA,NA
Xu et al.,fallow,54,2.769230769,0.3945,0,3.6,0.184615385,0.0263,0,0.730555556,0,19.5,NA,NA,NA
Xu et al.,fallow,36,2.4,0.189,0,2.4,0.16,0.0126,0,0.525,0,15,NA,NA,NA
Xu et al.,0,22.5,2.5,0.3735,0,1.5,0.166666667,0.0249,0,1.66,0,9,NA,NA,NA
Xu et al.,maize,18,1.8,0.204,0,1.2,0.12,0.0136,0,1.133333333,0,10,NA,NA,NA
Xu et al.,0,23.7,0,0.528,0,1.58,0,0.0352,0,2.227848101,NA,NA,NA,NA,NA
Xu et al.,0,16.5,1.8,0.2955,0.0645,1.1,0.12,0.0197,0.0043,1.790909091,3.583333333,9.166666667,NA,NA,NA
Xu et al.,0,18,1.95,0.258,0.042,1.2,0.13,0.0172,0.0028,1.433333333,2.153846154,9.230769231,NA,NA,NA
Xu et al.,0,22.5,2.4,0.4305,0.0435,1.5,0.16,0.0287,0.0029,1.913333333,1.8125,9.375,NA,NA,NA
Xu et al.,0,22.5,2.55,0.297,0.0585,1.5,0.17,0.0198,0.0039,1.32,2.294117647,8.823529412,NA,NA,NA
Xu et al.,0,22.5,2.4,0.45,0.0585,1.5,0.16,0.03,0.0039,2,2.4375,9.375,NA,NA,NA
Xu et al.,0,18,2.1,0.2955,0.039,1.2,0.14,0.0197,0.0026,1.641666667,1.857142857,8.571428571,NA,NA,NA
Xu et al.,0,24,2.25,0.591,0.0915,1.6,0.15,0.0394,0.0061,2.4625,4.066666667,10.66666667,NA,NA,NA
Xu et al.,0,18,1.95,0.4005,0.0675,1.2,0.13,0.0267,0.0045,2.225,3.461538462,9.230769231,NA,NA,NA
Xu et al.,0,24,2.85,0.675,0.099,1.6,0.19,0.045,0.0066,2.8125,3.473684211,8.421052632,NA,NA,NA
Xu et al.,0,19.5,2.25,0.4365,0.045,1.3,0.15,0.0291,0.003,2.238461538,2,8.666666667,NA,NA,NA
Xu et al.,winter wheat,16.5,1.8,0.312,0.066,1.1,0.12,0.0208,0.0044,1.890909091,3.666666667,9.166666667,NA,NA,NA
Xu et al.,clover grass,18,1.95,0.399,0.0915,1.2,0.13,0.0266,0.0061,2.216666667,4.692307692,9.230769231,NA,NA,NA
Xu et al.,winter wheat,22.5,2.4,0.336,0.0645,1.5,0.16,0.0224,0.0043,1.493333333,2.6875,9.375,NA,NA,NA
Xu et al.,oats,22.5,2.4,0.3705,0.06,1.5,0.16,0.0247,0.004,1.646666667,2.5,9.375,NA,NA,NA
Xu et al.,summer wheat,24,2.55,0.5715,0.09,1.6,0.17,0.0381,0.006,2.38125,3.529411765,9.411764706,NA,NA,NA
Xu et al.,clover grass,25.5,2.55,0.486,0.087,1.7,0.17,0.0324,0.0058,1.905882353,3.411764706,10,NA,NA,NA
Xu et al.,clover grass,22.5,2.7,0.579,0.1005,1.5,0.18,0.0386,0.0067,2.573333333,3.722222222,8.333333333,NA,NA,NA
Xu et al.,winter wheat,22.5,2.4,0.444,0.075,1.5,0.16,0.0296,0.005,1.973333333,3.125,9.375,NA,NA,NA
Xu et al.,winter wheat,22.5,2.4,0.336,0.06,1.5,0.16,0.0224,0.004,1.493333333,2.5,9.375,NA,NA,NA
Xu et al.,winter wheat,22.5,2.4,0.6,0.1035,1.5,0.16,0.04,0.0069,2.666666667,4.3125,9.375,NA,NA,NA
Xu et al.,winter wheat,22.5,2.4,0.585,0.099,1.5,0.16,0.039,0.0066,2.6,4.125,9.375,NA,NA,NA
Xu et al.,winter wheat,24,2.25,0.5145,0.096,1.6,0.15,0.0343,0.0064,2.14375,4.266666667,10.66666667,NA,NA,NA
Xu et al.,winter wheat,24,2.85,0.6765,0.1065,1.6,0.19,0.0451,0.0071,2.81875,3.736842105,8.421052632,NA,NA,NA
Xu et al.,winter wheat,24,3,0.6435,0.108,1.6,0.2,0.0429,0.0072,2.68125,3.6,8,NA,NA,NA
Xu et al.,winter wheat,18,1.95,0.321,0.0675,1.2,0.13,0.0214,0.0045,1.783333333,3.461538462,9.230769231,NA,NA,NA
Xu et al.,clover grass,18,1.8,0.333,0.075,1.2,0.12,0.0222,0.005,1.85,4.166666667,10,NA,NA,NA
Xu et al.,winter wheat,22.5,2.55,0.3675,0.066,1.5,0.17,0.0245,0.0044,1.633333333,2.588235294,8.823529412,NA,NA,NA
Xu et al.,oats,22.5,2.4,0.3825,0.072,1.5,0.16,0.0255,0.0048,1.7,3,9.375,NA,NA,NA
Xu et al.,summer wheat,24,2.55,0.4935,0.087,1.6,0.17,0.0329,0.0058,2.05625,3.411764706,9.411764706,NA,NA,NA
Xu et al.,clover grass,19.5,2.25,0.381,0.0705,1.3,0.15,0.0254,0.0047,1.953846154,3.133333333,8.666666667,NA,NA,NA
Xu et al.,clover grass,19.5,2.1,0.288,0.0615,1.3,0.14,0.0192,0.0041,1.476923077,2.928571429,9.285714286,NA,NA,NA
Xu et al.,winter wheat,18,2.1,0.5025,0.0765,1.2,0.14,0.0335,0.0051,2.791666667,3.642857143,8.571428571,NA,NA,NA
Xu et al.,winter wheat,16.5,2.1,0.267,0.048,1.1,0.14,0.0178,0.0032,1.618181818,2.285714286,7.857142857,NA,NA,NA
Xu et al.,winter wheat,19.5,2.1,0.3495,0.0675,1.3,0.14,0.0233,0.0045,1.792307692,3.214285714,9.285714286,NA,NA,NA
Xu et al.,winter wheat,19.5,2.1,0.2865,0.057,1.3,0.14,0.0191,0.0038,1.469230769,2.714285714,9.285714286,NA,NA,NA
Xu et al.,winter wheat,18,1.95,0.558,0.096,1.2,0.13,0.0372,0.0064,3.1,4.923076923,9.230769231,NA,NA,NA
Xu et al.,winter wheat,19.5,2.25,0.4365,0.0735,1.3,0.15,0.0291,0.0049,2.238461538,3.266666667,8.666666667,NA,NA,NA
Xu et al.,winter wheat,22.5,2.85,0.456,0.0765,1.5,0.19,0.0304,0.0051,2.026666667,2.684210526,7.894736842,NA,NA,NA
Xu et al.,barren land,126,10.5,2.46,0.36,8.4,0.7,0.164,0.024,1.952380952,3.428571429,12,NA,NA,NA
Xu et al.,winter wheat,16.5,2.25,0.393,0.0525,1.1,0.15,0.0262,0.0035,2.381818182,2.333333333,7.333333333,NA,NA,NA
Xu et al.,winter wheat,22.5,2.55,0.516,0.0525,1.5,0.17,0.0344,0.0035,2.293333333,2.058823529,8.823529412,NA,NA,NA
Xu et al.,winter wheat,24,2.7,0.666,0.087,1.6,0.18,0.0444,0.0058,2.775,3.222222222,8.888888889,NA,NA,NA
Xu et al.,0,22.2,2.325,0.4275,0.0885,1.48,0.155,0.0285,0.0059,1.925675676,3.806451613,9.548387097,NA,NA,NA
Xu et al.,0,22.2,2.325,0.4095,0.0945,1.48,0.155,0.0273,0.0063,1.844594595,4.064516129,9.548387097,NA,NA,NA
Xu et al.,0,22.2,2.325,0.3705,0.0825,1.48,0.155,0.0247,0.0055,1.668918919,3.548387097,9.548387097,NA,NA,NA
Xu et al.,0,22.2,2.325,0.369,0.0915,1.48,0.155,0.0246,0.0061,1.662162162,3.935483871,9.548387097,NA,NA,NA
Xu et al.,0,22.2,2.325,0.222,0.027,1.48,0.155,0.0148,0.0018,1,1.161290323,9.548387097,NA,NA,NA
Xu et al.,0,22.2,2.325,0.087,0.021,1.48,0.155,0.0058,0.0014,0.391891892,0.903225806,9.548387097,NA,NA,NA
Xu et al.,potato and winter rye,9.75,0.825,0.195,0.0255,0.65,0.055,0.013,0.0017,2,3.090909091,11.81818182,NA,NA,NA
Xu et al.,potato and winter rye,11.4,0.945,0.24,0.0345,0.76,0.063,0.016,0.0023,2.105263158,3.650793651,12.06349206,NA,NA,NA
Xu et al.,potato and winter rye,10.2,0.93,0.195,0.0255,0.68,0.062,0.013,0.0017,1.911764706,2.741935484,10.96774194,NA,NA,NA
Xu et al.,potato and winter rye,10.8,0.915,0.21,0.0285,0.72,0.061,0.014,0.0019,1.944444444,3.114754098,11.80327869,NA,NA,NA
Xu et al.,potato and winter rye,11.1,0.915,0.21,0.024,0.74,0.061,0.014,0.0016,1.891891892,2.62295082,12.13114754,NA,NA,NA
Xu et al.,potato and winter rye,10.8,0.915,0.195,0.027,0.72,0.061,0.013,0.0018,1.805555556,2.950819672,11.80327869,NA,NA,NA
Xu et al.,potato and winter rye,12.3,1.035,0.225,0.03,0.82,0.069,0.015,0.002,1.829268293,2.898550725,11.88405797,NA,NA,NA
Xu et al.,potato and winter rye,12,1.05,0.225,0.0285,0.8,0.07,0.015,0.0019,1.875,2.714285714,11.42857143,NA,NA,NA
Xu et al.,0,10.35,0.855,0.030015,0,0.69,0.057,0.002001,0,0.29,0,12.10526316,NA,NA,NA
Xu et al.,0,12.75,1.14,0.1275,0,0.85,0.076,0.0085,0,1,0,11.18421053,NA,NA,NA
Xu et al.,0,14.1,1.575,0.29187,0,0.94,0.105,0.019458,0,2.07,0,8.952380952,NA,NA,NA
Xu et al.,0,15,1.5,0.3675,0,1,0.1,0.0245,0,2.45,0,10,NA,NA,NA
Xu et al.,0,15,1.515,0.4095,0,1,0.101,0.0273,0,2.73,0,9.900990099,NA,NA,NA
Xu et al.,0,16.2,1.86,0.32724,0,1.08,0.124,0.021816,0,2.02,0,8.709677419,NA,NA,NA
Xu et al.,0,16.35,1.86,0.361335,0,1.09,0.124,0.024089,0,2.21,0,8.790322581,NA,NA,NA
Xu et al.,0,16.5,1.815,0.37455,0,1.1,0.121,0.02497,0,2.27,0,9.090909091,NA,NA,NA
Xu et al.,0,17.25,1.005,0.225975,0,1.15,0.067,0.015065,0,1.31,0,17.1641791,NA,NA,NA
Xu et al.,0,17.55,1.845,0.46332,0,1.17,0.123,0.030888,0,2.64,0,9.512195122,NA,NA,NA
Xu et al.,0,17.7,1.53,0.36816,0,1.18,0.102,0.024544,0,2.08,0,11.56862745,NA,NA,NA
Xu et al.,0,21,2.25,0.6195,0,1.4,0.15,0.0413,0,2.95,0,9.333333333,NA,NA,NA
Xu et al.,0,22.8,2.46,0.41952,0,1.52,0.164,0.027968,0,1.84,0,9.268292683,NA,NA,NA
Xu et al.,0,22.95,2.4,0.43605,0,1.53,0.16,0.02907,0,1.9,0,9.5625,NA,NA,NA
Xu et al.,0,25.95,2.475,0.48786,0,1.73,0.165,0.032524,0,1.88,0,10.48484848,NA,NA,NA
Xu et al.,0,26.4,2.655,0.86064,0,1.76,0.177,0.057376,0,3.26,0,9.943502825,NA,NA,NA
Xu et al.,0,29.55,2.925,0.511215,0,1.97,0.195,0.034081,0,1.73,0,10.1025641,NA,NA,NA
Xu et al.,0,29.7,2.76,0.56727,0,1.98,0.184,0.037818,0,1.91,0,10.76086957,NA,NA,NA
Xu et al.,0,29.7,3.405,0.5049,0,1.98,0.227,0.03366,0,1.7,0,8.72246696,NA,NA,NA
Xu et al.,0,33.6,4.245,0.99792,0,2.24,0.283,0.066528,0,2.97,0,7.915194346,NA,NA,NA
Xu et al.,0,35.25,3.225,0.588675,0,2.35,0.215,0.039245,0,1.67,0,10.93023256,NA,NA,NA
Xu et al.,0,36.6,4.245,0.64782,0,2.44,0.283,0.043188,0,1.77,0,8.621908127,NA,NA,NA
Xu et al.,0,39.15,4.725,1.00224,0,2.61,0.315,0.066816,0,2.56,0,8.285714286,NA,NA,NA
Xu et al.,0,254.85,21.765,1.401675,0,16.99,1.451,0.093445,0,0.55,0,11.70916609,NA,NA,NA
Xu et al.,sugar beet-winter wheat-winter barley,15.3,0,0.45,0,1.02,0,0.03,0,2.941176471,NA,NA,NA,NA,NA
Xu et al.,sugar beet-winter wheat-winter barley,15.45,0,0.411,0,1.03,0,0.0274,0,2.660194175,NA,NA,NA,NA,NA
Xu et al.,sugar beet-winter wheat-winter barley,15.3,0,0.318,0,1.02,0,0.0212,0,2.078431373,NA,NA,NA,NA,NA
Xu et al.,0,15.15,1.395,0.2235,0.039,1.01,0.093,0.0149,0.0026,1.475247525,2.795698925,10.86021505,NA,NA,NA
Xu et al.,0,16.05,1.5,0.2715,0.0525,1.07,0.1,0.0181,0.0035,1.691588785,3.5,10.7,NA,NA,NA
Xu et al.,0,23.25,2.19,0.168,0.03,1.55,0.146,0.0112,0.002,0.722580645,1.369863014,10.61643836,NA,NA,NA
Xu et al.,0,19.65,2.175,0.222,0.039,1.31,0.145,0.0148,0.0026,1.129770992,1.793103448,9.034482759,NA,NA,NA
Xu et al.,0,83.7,7.455,0.966,0.144,5.58,0.497,0.0644,0.0096,1.154121864,1.931589537,11.22736419,NA,NA,NA
Xu et al.,0,46.2,4.395,0.6315,0.1005,3.08,0.293,0.0421,0.0067,1.366883117,2.28668942,10.51194539,NA,NA,NA
Xu et al.,0,67.35,6.885,1.4775,0.1785,4.49,0.459,0.0985,0.0119,2.19376392,2.592592593,9.782135076,NA,NA,NA
Xu et al.,0,61.35,5.94,1.071,0.1515,4.09,0.396,0.0714,0.0101,1.745721271,2.550505051,10.32828283,NA,NA,NA
Xu et al.,0,83.85,7.665,2.451,0.303,5.59,0.511,0.1634,0.0202,2.923076923,3.953033268,10.93933464,NA,NA,NA
Xu et al.,0,182.55,16.575,5.52,0.6885,12.17,1.105,0.368,0.0459,3.023829088,4.153846154,11.01357466,NA,NA,NA
Xu et al.,0,160.2,14.565,1.245,0.204,10.68,0.971,0.083,0.0136,0.777153558,1.40061792,10.99897013,NA,NA,NA
Xu et al.,0,135.75,13.035,0.8505,0.1215,9.05,0.869,0.0567,0.0081,0.626519337,0.932105869,10.41426928,NA,NA,NA
Xu et al.,0,138.9,13.005,0.9465,0.1785,9.26,0.867,0.0631,0.0119,0.681425486,1.37254902,10.6805075,NA,NA,NA
Xu et al.,0,25.35,2.49,0.4065,0.0615,1.69,0.166,0.0271,0.0041,1.603550296,2.469879518,10.18072289,NA,NA,NA
Xu et al.,0,33.75,2.655,0.2925,0.036,2.25,0.177,0.0195,0.0024,0.866666667,1.355932203,12.71186441,NA,NA,NA
Xu et al.,0,63.15,5.505,0.7905,0.1155,4.21,0.367,0.0527,0.0077,1.251781473,2.098092643,11.47138965,NA,NA,NA
Xu et al.,0,52.35,4.005,0.4725,0.0705,3.49,0.267,0.0315,0.0047,0.902578797,1.760299625,13.07116105,NA,NA,NA
Xu et al.,0,53.25,4.74,0.6975,0.1035,3.55,0.316,0.0465,0.0069,1.309859155,2.183544304,11.23417722,NA,NA,NA
Xu et al.,0,50.4,4.485,0.426,0.06,3.36,0.299,0.0284,0.004,0.845238095,1.337792642,11.23745819,NA,NA,NA
Xu et al.,0,68.1,5.46,0.5235,0.075,4.54,0.364,0.0349,0.005,0.768722467,1.373626374,12.47252747,NA,NA,NA
Xu et al.,0,57.6,5.085,0.6375,0.0975,3.84,0.339,0.0425,0.0065,1.106770833,1.91740413,11.32743363,NA,NA,NA
Xu et al.,Oil-seed rape,18.15,1.852040816,0.237,0,1.21,0.123469388,0.0158,0,1.305785124,0,9.8,NA,NA,NA
Xu et al.,Oil-seed rape,19.5,1.893203883,0.267,0,1.3,0.126213592,0.0178,0,1.369230769,0,10.3,NA,NA,NA
Xu et al.,Oil-seed rape,18.15,1.833333333,0.2595,0,1.21,0.122222222,0.0173,0,1.429752066,0,9.9,NA,NA,NA
Xu et al.,Winter wheat,18.15,1.871134021,0.3675,0,1.21,0.124742268,0.0245,0,2.024793388,0,9.7,NA,NA,NA
Xu et al.,Winter wheat,18.75,1.913265306,0.396,0,1.25,0.12755102,0.0264,0,2.112,0,9.8,NA,NA,NA
Xu et al.,Winter wheat,18,1.8,0.336,0,1.2,0.12,0.0224,0,1.866666667,0,10,NA,NA,NA
Xu et al.,oat,18.15,1.515,0.5745,0,1.21,0.101,0.0383,0,3.165289256,0,11.98019802,NA,NA,NA
Xu et al.,oat,18.15,1.515,0.447,0,1.21,0.101,0.0298,0,2.462809917,0,11.98019802,NA,NA,NA
Xu et al.,winter barley,10.05,1.485,0,0.0027,0.67,0.099,0,0.00018,0,0.181818182,6.767676768,NA,NA,NA
Xu et al.,winter barley,10.5,1.44,0,0.00645,0.7,0.096,0,0.00043,0,0.447916667,7.291666667,NA,NA,NA
